#RawFactor(z),ParFactor(c),dz/dc
IndexCurve/USD-LIBOR-3M/10,DiscountCurve/EUR/1,-0.000000006791
IndexCurve/USD-LIBOR-3M/11,DiscountCurve/EUR/1,-0.000000010260
IndexCurve/USD-LIBOR-3M/12,DiscountCurve/EUR/1,-0.000000011801
IndexCurve/USD-LIBOR-3M/13,DiscountCurve/EUR/1,-0.000000010393
IndexCurve/USD-LIBOR-3M/14,DiscountCurve/EUR/1,-0.000000008106
IndexCurve/USD-LIBOR-3M/15,DiscountCurve/EUR/1,-0.000000006166
IndexCurve/USD-LIBOR-6M/0,DiscountCurve/EUR/1,0.000000000000
IndexCurve/USD-LIBOR-6M/1,DiscountCurve/EUR/1,0.000000000000
IndexCurve/USD-LIBOR-6M/2,DiscountCurve/EUR/1,0.000000000000
IndexCurve/USD-LIBOR-6M/3,DiscountCurve/EUR/1,-0.000000000004
IndexCurve/USD-LIBOR-6M/4,DiscountCurve/EUR/1,0.000000000054
IndexCurve/USD-LIBOR-6M/5,DiscountCurve/EUR/1,-0.000000000883
IndexCurve/USD-LIBOR-6M/6,DiscountCurve/EUR/1,0.000000000705
IndexCurve/USD-LIBOR-6M/7,DiscountCurve/EUR/1,-0.000000000396
IndexCurve/USD-LIBOR-6M/8,DiscountCurve/EUR/1,-0.000000001644
IndexCurve/USD-LIBOR-6M/9,DiscountCurve/EUR/1,-0.000000003432
IndexCurve/USD-LIBOR-6M/10,DiscountCurve/EUR/1,-0.000000007014
IndexCurve/USD-LIBOR-6M/11,DiscountCurve/EUR/1,-0.000000009837
IndexCurve/USD-LIBOR-6M/12,DiscountCurve/EUR/1,-0.000000011176
IndexCurve/USD-LIBOR-6M/13,DiscountCurve/EUR/1,-0.000000009491
IndexCurve/USD-LIBOR-6M/14,DiscountCurve/EUR/1,-0.000000007062
IndexCurve/USD-LIBOR-6M/15,DiscountCurve/EUR/1,-0.000000005073
SurvivalProbability/CPTY_1/0,DiscountCurve/EUR/1,-0.000333765831
SurvivalProbability/CPTY_1/1,DiscountCurve/EUR/1,-0.000109441501
SurvivalProbability/CPTY_1/2,DiscountCurve/EUR/1,-0.000063229941
SurvivalProbability/CPTY_1/3,DiscountCurve/EUR/1,-0.000041343922
SurvivalProbability/CPTY_1/4,DiscountCurve/EUR/1,-0.000031117543
SurvivalProbability/CPTY_1/5,DiscountCurve/EUR/1,-0.000024877602
SurvivalProbability/CPTY_1/6,DiscountCurve/EUR/1,-0.000017785341
SurvivalProbability/CPTY_1/7,DiscountCurve/EUR/1,-0.000012455674
SurvivalProbability/CPTY_1/8,DiscountCurve/EUR/1,-0.000010383890
SurvivalProbability/CPTY_1/9,DiscountCurve/EUR/1,-0.000008309848
SurvivalProbability/CPTY_1/10,DiscountCurve/EUR/1,-0.000006235460
SurvivalProbability/CPTY_2/0,DiscountCurve/EUR/1,-0.000333765831
SurvivalProbability/CPTY_2/1,DiscountCurve/EUR/1,-0.000109441501
SurvivalProbability/CPTY_2/2,DiscountCurve/EUR/1,-0.000063229941
SurvivalProbability/CPTY_2/3,DiscountCurve/EUR/1,-0.000041343922
SurvivalProbability/CPTY_2/4,DiscountCurve/EUR/1,-0.000031117543
SurvivalProbability/CPTY_2/5,DiscountCurve/EUR/1,-0.000024877602
SurvivalProbability/CPTY_2/6,DiscountCurve/EUR/1,-0.000017785341
